id_str,name,created,loc,mentions,hashtags,text
959592473361309696,OrangeLineAlert,2018-02-03 01:00:48,,[],"[{'text': 'OrangeLine', 'indices': [0, 11]}, {'text': 'mbta', 'indices': [82, 87]}]",b'#OrangeLine experiencing moderate delays due to a switch problem at Forest Hills. #mbta'
959592473176702976,arabmillennial,2018-02-03 01:00:48,United Kingdom,[],[],"b'If you are an Arab start-up or enterprise and would like us to write about your organisation on our website, please\xe2\x80\xa6 https://t.co/EsUaJG7aoH'"
959592472409239552,elisapulliam,2018-02-03 01:00:48,,[],[],b'hat are your apprehensions about getting help to deal with your issues that you have not been able to solve on your\xe2\x80\xa6 https://t.co/GOJsfTMCC0'
959592472455385088,AlexandraSowell,2018-02-03 01:00:48,KY,[],"[{'text': 'follow', 'indices': [23, 30]}, {'text': 'followme', 'indices': [31, 40]}, {'text': 'followplease', 'indices': [41, 54]}, {'text': 'photooftheday', 'indices': [55, 69]}, {'text': 'igaddict', 'indices': [70, 79]}, {'text': 'instagood', 'indices': [80, 90]}, {'text': 'girl', 'indices': [91, 96]}, {'text': 'fun', 'indices': [97, 101]}, {'text': 'instalike', 'indices': [102, 112]}]","b'Dear, you.\n.\n.\n.\n.\n.\n.\n#follow #followme #followplease #photooftheday #igaddict #instagood #girl #fun #instalike\xe2\x80\xa6 https://t.co/vUfIhuMVsu'"
959592473269030912,kassss_d,2018-02-03 01:00:48,"Chicago, IL","[{'screen_name': 'craedontplay', 'name': 'chels', 'id': 498266742, 'id_str': '498266742', 'indices': [0, 13]}]",[],b'@craedontplay Well I\xe2\x80\x99m hurt smh'
959592471629123584,omennisme,2018-02-03 01:00:48,Jakarta,[],"[{'text': 'BestOf500px', 'indices': [76, 88]}]",b'Preparations for the New Year) by David Dubnitskiy  https://t.co/lVwZLR3NXZ #BestOf500px https://t.co/4pZfS1WL8P'
959592473281552384,IYahia4,2018-02-03 01:00:48,,"[{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [0, 16]}]",[],"b'@realDonaldTrump One of the first SIGNS of the END TIME is the emergence of a FALSE MESSIAH, talking about GOD, whi\xe2\x80\xa6 https://t.co/9vfrutrnur'"
959592473659142144,megastar112,2018-02-03 01:00:48,,[],[],b'I am so alone'
959592472870502401,Herrrrrb,2018-02-03 01:00:48,ゆ ゆしきいず ごっど,"[{'screen_name': '35shoutai', 'name': '35shoutai', 'id': 756938733887172608, 'id_str': '756938733887172608', 'indices': [0, 10]}]",[],b'\xef\xbc\xa035shoutai https://t.co/N6nRTrhe9e https://t.co/yz5P2ocwIS'
959592473470226433,groupjobs,2018-02-03 01:00:48,"Loveland, CO",[],"[{'text': 'job', 'indices': [5, 9]}, {'text': 'Loveland', 'indices': [89, 98]}, {'text': 'LovelandCO', 'indices': [99, 110]}]",b'This #job might be a great fit for you: Distribution Associate - https://t.co/2YtiAM7ZTV #Loveland #LovelandCO\xe2\x80\xa6 https://t.co/zcKn4oSlG9'
